Symbol,Name,Category,Exchange,Provider,AssetClass,Frequency,Priority,Active,Remarks
NIFTYCHEMICAL,Nifty Chemicals,Industry,NSE,NSE,Equity,Daily,1,True,
NIFTYCAPITALMARKET,Nifty Capital Markets,Industry,NSE,NSE,Equity,Daily,2,True,
NIFTYTELECOM,Nifty Telecom,Industry,NSE,NSE,Equity,Daily,3,True,
NIFTYLOGISTICS,Nifty Logistics,Industry,NSE,NSE,Equity,Daily,4,True,
NIFTYAVIATION,Nifty Aviation,Industry,NSE,NSE,Equity,Daily,5,True,
NIFTYCEMENT,Nifty Cement,Industry,NSE,NSE,Equity,Daily,6,True,
NIFTYCONSTRUCTION,Nifty Construction,Industry,NSE,NSE,Equity,Daily,7,True,
NIFTYDEFENCE,Nifty Defence,Industry,NSE,NSE,Equity,Daily,8,True,
NIFTYRETAIL,Nifty Retail,Industry,NSE,NSE,Equity,Daily,9,True,
NIFTYTEXTILE,Nifty Textile,Industry,NSE,NSE,Equity,Daily,10,True,
NIFTYSUGAR,Nifty Sugar,Industry,NSE,NSE,Equity,Daily,11,True,
NIFTYFERTILIZER,Nifty Fertilizer,Industry,NSE,NSE,Equity,Daily,12,True,
NIFTYAUTOCOMP,Nifty Auto Components,Industry,NSE,NSE,Equity,Daily,13,True,
NIFTYPOWER,Nifty Power,Industry,NSE,NSE,Equity,Daily,14,True,
NIFTYHOSPITAL,Nifty Hospitals,Industry,NSE,NSE,Equity,Daily,15,True,
NIFTYINSURANCE,Nifty Insurance,Industry,NSE,NSE,Equity,Daily,16,True,
NIFTYNBFC,Nifty NBFC,Industry,NSE,NSE,Equity,Daily,17,True,
NIFTYINTERNET,Nifty Internet,Industry,NSE,NSE,Equity,Daily,18,True,
NIFTYRENEWABLE,Nifty Renewable Energy,Industry,NSE,NSE,Equity,Daily,19,True,
NIFTYCABLE,Nifty Cables,Industry,NSE,NSE,Equity,Daily,20,True,
NIFTYELECTRICAL,Nifty Electrical Equipment,Industry,NSE,NSE,Equity,Daily,21,True,
NIFTYPACKAGING,Nifty Packaging,Industry,NSE,NSE,Equity,Daily,22,True,
NIFTYENGINEERING,Nifty Engineering,Industry,NSE,NSE,Equity,Daily,23,True,
NIFTYHOTELS,Nifty Hotels,Industry,NSE,NSE,Equity,Daily,24,True,
NIFTYSHIPPING,Nifty Shipping,Industry,NSE,NSE,Equity,Daily,25,True,
