Symbol,Name,Category,Provider,Frequency,Unit,Source,Priority,Active,Remarks
CPI,Consumer Price Index,Inflation,MOSPI,Monthly,%,MOSPI,1,True,
WPI,Wholesale Price Index,Inflation,Commerce,Monthly,%,GoI,2,True,
REPO_RATE,Repo Rate,Monetary,RBI,Event,%,RBI,3,True,
CRR,Cash Reserve Ratio,Monetary,RBI,Event,%,RBI,4,True,
FOREX,Forex Reserves,External,RBI,Weekly,USD Bn,RBI,5,True,
USDINR,USD/INR,FX,RBI,Daily,Rate,RBI,6,True,
GST,GST Collection,Fiscal,GSTN,Monthly,₹ Cr,GSTN,7,True,
GDP,GDP Growth,Growth,MOSPI,Quarterly,%,MOSPI,8,True,
PMI_MFG,PMI Manufacturing,Growth,S&P,Monthly,Index,S&P,9,True,
PMI_SERV,PMI Services,Growth,S&P,Monthly,Index,S&P,10,True,
IIP,Index of Industrial Production,Growth,MOSPI,Monthly,Index,MOSPI,11,True,
FII,FII Net Flow,Flows,NSDL,Daily,₹ Cr,NSDL,12,True,
DII,DII Net Flow,Flows,NSDL,Daily,₹ Cr,NSDL,13,True,
INDIAVIX,India VIX,Volatility,NSE,Daily,Index,NSE,14,True,
GSEC10Y,10Y Bond Yield,Rates,RBI,Daily,%,RBI,15,True,
