Symbol,Name,Category,Exchange,Provider,AssetClass,Frequency,Priority,Active,Remarks
NIFTYAUTO,Nifty Auto,Sector,NSE,NSE,Equity,Daily,1,True,
NIFTYBANK,Nifty Bank,Sector,NSE,NSE,Equity,Daily,2,True,
NIFTYFINSERVICE,Nifty Financial Services,Sector,NSE,NSE,Equity,Daily,3,True,
NIFTYFMCG,Nifty FMCG,Sector,NSE,NSE,Equity,Daily,4,True,
NIFTYHEALTHCARE,Nifty Healthcare,Sector,NSE,NSE,Equity,Daily,5,True,
NIFTYIT,Nifty IT,Sector,NSE,NSE,Equity,Daily,6,True,
NIFTYMEDIA,Nifty Media,Sector,NSE,NSE,Equity,Daily,7,True,
NIFTYMETAL,Nifty Metal,Sector,NSE,NSE,Equity,Daily,8,True,
NIFTYPHARMA,Nifty Pharma,Sector,NSE,NSE,Equity,Daily,9,True,
NIFTYPSUBANK,Nifty PSU Bank,Sector,NSE,NSE,Equity,Daily,10,True,
NIFTYPRIVATEBANK,Nifty Private Bank,Sector,NSE,NSE,Equity,Daily,11,True,
NIFTYREALTY,Nifty Realty,Sector,NSE,NSE,Equity,Daily,12,True,
NIFTYCONSUMERDURABLES,Nifty Consumer Durables,Sector,NSE,NSE,Equity,Daily,13,True,
NIFTYENERGY,Nifty Energy,Sector,NSE,NSE,Equity,Daily,15,True,
NIFTYINFRA,Nifty Infrastructure,Sector,NSE,NSE,Equity,Daily,16,True,
NIFTYCOMMODITIES,Nifty Commodities,Sector,NSE,NSE,Equity,Daily,17,True,
NIFTYSERVICES,Nifty Services,Sector,NSE,NSE,Equity,Daily,18,True,
NIFTYCONSUMPTION,Nifty India Consumption,Sector,NSE,NSE,Equity,Daily,19,True,
NIFTYPSE,Nifty PSE,Sector,NSE,NSE,Equity,Daily,20,True,
