Symbol,Name,Category,Exchange,Provider,AssetClass,Frequency,Priority,Active,Remarks
MANUFACTURING,India Manufacturing,Theme,NSE,NSE,Equity,Daily,1,True,
DEFENCE,Defence,Theme,NSE,NSE,Equity,Daily,2,True,
EV,Electric Vehicles,Theme,NSE,NSE,Equity,Daily,3,True,
DIGITAL,Digital India,Theme,NSE,NSE,Equity,Daily,4,True,
CPSE,CPSE,Theme,NSE,NSE,Equity,Daily,5,True,
PSU,Public Sector,Theme,NSE,NSE,Equity,Daily,6,True,
RURAL,Rural India,Theme,NSE,NSE,Equity,Daily,7,True,
HOUSING,Housing,Theme,NSE,NSE,Equity,Daily,8,True,
TOURISM,Tourism,Theme,NSE,NSE,Equity,Daily,9,True,
ESG,ESG,Theme,NSE,NSE,Equity,Daily,10,True,
INFRA,Infrastructure,Theme,NSE,NSE,Equity,Daily,11,True,
MNC,MNC,Theme,NSE,NSE,Equity,Daily,12,True,
CONSUMPTION,Consumption,Theme,NSE,NSE,Equity,Daily,13,True,
MOBILITY,Mobility,Theme,NSE,NSE,Equity,Daily,14,True,
DIVIDEND,Dividend Opportunities,Theme,NSE,NSE,Equity,Daily,15,True,
